"a375","a549","ha1e","hcc515","hela","ht29","mcf7","pc3","vcap","yapc"
0.1809815950920246,-0.26687116564417174,-0.1840490797546012,-0.24505794137695974,0.17586912065439686,-0.3053851397409679,0.11520109066121342,-0.24880708929788678,-0.12576687116564414,-0.2004089979550102
0.22903885480572606,0.29243353783231096,0.21540558963871848,0.2975460122699387,0.1693933197000682,0.13462849352419906,0.194274028629857,0.23006134969325165,0.19700068166325846,0.2665303340149967
0.17450579413769607,-0.17995910020449896,-0.21097477845944096,0.2338104976141786,0.17382413087934567,0.1281526925698706,0.20552147239263813,0.2242672119972735,0.14689843217450593,0.2027948193592366
0.16257668711656445,0.15201090661213368,0.20177232447171112,0.16734832992501714,0.11077027948193607,0.14655760054533074,0.1608725289706887,0.2338104976141786,0.16666666666666674,0.2085889570552148
0.16428084526244047,-0.25085207907293794,-0.21438309475119285,0.15235173824130888,0.15371506475800967,-0.20177232447171095,0.24164962508520793,0.20586230402181338,-0.11349693251533738,0.1721199727334698
0.14212678936605339,0.24028629856850725,-0.1802999318336741,0.2443762781186095,-0.12338104976141778,-0.10770279481935918,0.17893660531697353,0.2348329925017042,0.13599182004089994,0.2447171097477847
0.3271983640081801,0.2242672119972734,0.18643490115882766,0.15746421267893673,0.1503067484662578,0.24267211997273352,0.27096114519427406,0.28459441036128164,0.26073619631901856,0.2460804362644854
0.1704158145875938,0.20518064076346287,0.18779822767552834,0.21267893660531711,0.15610088616223594,0.13803680981595096,0.17348329925017048,0.25391956373551483,0.20518064076346298,0.2038173142467622
0.2546012269938651,0.24778459441036138,0.23721881390593058,0.1935923653715066,0.16257668711656445,0.17791411042944788,0.22017723244717124,0.26073619631901856,0.2566462167689163,0.2764144512610771
0.14383094751192915,0.16905248807089313,0.2150647580095434,0.12644853442399462,-0.14655760054533054,0.23312883435582826,0.23108384458077713,0.25187457396046364,0.22154055896387193,0.24539877300613505
0.19597818677573287,0.28527607361963203,0.24914792092706217,0.24539877300613505,0.1929107021131562,0.18575323790047726,0.27300613496932524,0.3101567825494207,0.17280163599182014,0.27607361963190197
0.3111792774369463,0.2351738241308794,0.15610088616223594,0.20415814587593728,0.20995228357191564,0.1837082481254262,0.3087934560327199,0.23312883435582832,0.22188139059304712,0.279822767552829
0.34628493524199055,0.23653715064758019,0.12440354464894343,0.19631901840490806,0.14451261077027966,0.18984321745057953,0.3098159509202455,0.2897068847989095,0.2048398091342878,0.2644853442399455
0.2559645535105659,0.20927062031356525,-0.15098841172460806,0.20518064076346298,0.21063394683026593,-0.13974096796182678,0.15576005453306085,0.22017723244717124,0.19700068166325846,0.24130879345603284
0.2869802317655079,0.19631901840490804,-0.13360599863667333,0.12167689161554193,0.14451261077027966,0.14792092706203142,0.2675528289025222,0.20586230402181338,0.2256305385139742,0.2137014314928426
0.20688479890933886,0.23176550783912753,0.2447171097477847,0.27436946148602603,0.21642808452624418,0.2167689161554193,0.2760736196319019,0.24267211997273352,0.21881390593047037,0.2682344921608726
0.2689161554192229,0.19904567143830953,0.1939331970006818,0.16768916155419233,0.15644171779141114,0.2119972733469666,0.2972051806407636,0.27027948193592377,0.2678936605316975,0.20824812542603954
0.22631220177232458,-0.21029311520109067,-0.20722563053851392,0.15610088616223589,0.1922290388548058,-0.11451942740286297,0.261758691206544,0.2252897068847991,0.1826857532379006,0.26789366053169744
0.24642126789366056,0.192569870483981,0.183367416496251,0.16462167689161566,0.14212678936605322,0.24642126789366064,0.25187457396046364,0.2661895023858215,0.236196319018405,0.268916155419223
0.28084526244035457,0.21574642126789367,0.2341513292433538,0.2027948193592367,0.17075664621676898,0.19529652351738253,0.2256305385139742,0.2566462167689163,0.26482617586912083,0.26005453306066806
0.13428766189502406,-0.2379004771642808,-0.20211315610088612,-0.19938650306748462,0.15576005453306085,-0.11179277436946145,0.18507157464212687,0.23176550783912753,0.16734832992501714,0.13326516700749846
0.22256305385139746,0.19086571233810512,0.18268575323790048,0.17484662576687127,0.13053851397409688,0.24846625766871172,0.29481935923653724,0.24335378323108386,0.2351738241308795,0.23994546693933205
0.12269938650306753,-0.2137014314928425,-0.20347648261758688,-0.20279481935923654,-0.12610770279481937,0.1397409679618269,0.18268575323790048,0.26414451261077043,0.19529652351738258,0.17825494205862308
0.12133605998636676,0.15371506475800967,0.2038173142467622,0.1301976823449218,-0.13735514655760045,0.23824130879345612,0.2137014314928426,0.21608725289706898,0.21881390593047045,0.20143149284253586
