BRD-A03216249,CN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A03249105,C[C@]12CC[C@H]3C([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
BRD-A03323675,CN(Cc1c[s]c([n]1)C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(O)C(Cc1ccccc1)NC(=O)OCc1c[n]c[s]1)Cc1ccccc1
BRD-A03359064,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1
BRD-A03427350,CC1C(=Cc2ccc(cc2)S(C)=O)c2ccc(F)cc2C=1CC(O)=O
BRD-A03436432,COc1cc(ccc1)S(=O)(=O)NC1CN(CC1)C#N
BRD-A03506276,CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(cn2)C(=O)C2CC2)c(C)cc1C(N)=O
BRD-A03520402,CC(C)c1ccc(cc1)C1C2CN(C)CC=C2C(C#N)(C#N)C(N)=C1C#N
BRD-A03623303,CC(C)NCC(O)COc1ccc(CCOC)cc1
BRD-A03684405,O=C1[C@H](Cc2ccccc2)CC[n]2cc(COCC3CCCN13)[n][n]2
BRD-A03816571,CCCCCCC(C)(C)c1cc(O)c(cc1)C1CC(O)CCC1CCCO
BRD-A03926027,NC1Nc2c(C(C=1C#N)c1ccc(Br)cc1)c(=O)oc1ccccc12
BRD-A03946276,[O-][N+](=O)c1cc2c(cc1)NC(=O)C12NNc2ccccc2O1
BRD-A04020513,CCCCS(=N)(=O)CCC(N)C(O)=O
BRD-A04026261,CCCCCCCCNC(=O)C(Cc1ccc(cc1)OCc1cc[n]cc1)NC(=O)C1CCC(CN)CC1
BRD-A04172077,CC(C)(OC)C(O)Cc1c2oc(=O)ccc2ccc1OC
BRD-A04308630,COC(=O)C1=COC(O)C2C1CC=C2CO
BRD-A04327189,CNCC(O)c1ccc(O)cc1
BRD-A04352665,Cc1[n][n]c(C(C)C)[n]1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04392722,CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(c1ccccc1)C(=O)OCc1ccccc1
BRD-A04553218,CN(C)CCC(c1cccc[n]1)c1ccc(Cl)cc1
BRD-A04668240,CCOC(OCC)P(O)(=O)CCCNCc1cc(Cl)c(Cl)cc1
