"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR31HG",384.916499773974,1.68509820045151,0.435795841708543,3.86671473010173,0.000110311336939181,0.0140380088259176
"RPL41",4037.7343783278,-1.35155677192315,0.349699880764858,-3.86490486918968,0.000111132505502603,0.0140380088259176
"INO80",386.606826616569,1.51108704077814,0.392157418869477,3.8532664896009,0.000116552416603406,0.0145863191001078
"AKAP8L",176.967043021784,1.49020362565455,0.386986177126244,3.85079290614664,0.000117736026435047,0.0145992672779458
"CRTC3",1527.18946934892,-1.34443669091057,0.350064217550479,-3.84054303041328,0.000122762450491519,0.0149248200670334
"BTAF1",292.339171257233,1.17843613759814,0.306755891737046,3.84160881450421,0.000122230527620722,0.0149248200670334
"PTBP2",318.243138312739,1.56872917912257,0.408658763432278,3.83872638860597,0.000123674152671482,0.0149248200670334
"SLC35F3",1050.85004819334,1.59311729022818,0.415850736020308,3.83098345688724,0.000127632087637758,0.0152661530664774
"CCDC57",240.622266902936,1.50483542911078,0.393299969405987,3.82617733579685,0.000130148548459329,0.0154305945699674
"AADAC",80.7457774317321,1.79702402914925,0.47124673584336,3.8133400031583,0.000137101294085633,0.0158333555935028
"CRTC3-AS1",1496.33517052728,-1.40737696300036,0.369109248932283,-3.81290083375438,0.000137345230012715,0.0158333555935028
"ACTG1",86776.8867160212,-1.18948523028903,0.312002927036855,-3.81241689488548,0.000137614506543055,0.0158333555935028
"LOC101927018",47.2652270935837,2.18377596352394,0.572972307619084,3.81131153196278,0.000138231426459998,0.0158333555935028
"SLC22A4",71.1227220883264,1.38229876026424,0.363499192887789,3.80275606469076,0.000143095238173068,0.0162527331020772
"TXNDC11",302.841083565226,0.897574736779519,0.236682019296977,3.79232330130362,0.000149244439146114,0.016408069323341
"SPR",165.06884574263,-1.11797554894558,0.295226580198213,-3.78683907185788,0.00015257584530652,0.016408069323341
"RPS7",2672.66117064181,-0.980110298504441,0.259227027911345,-3.78089548146823,0.000156265272222326,0.016408069323341
"ABHD8",808.811258165318,-0.984084892521507,0.26028178897339,-3.78084420121346,0.000156297466261928,0.016408069323341
"MRPL34",801.016658308572,-0.990807198273429,0.261556496634094,-3.78811924392582,0.000151791997068372,0.016408069323341
"RPS2",7919.56425154985,-1.10393570223523,0.290808971368866,-3.79608544068947,0.00014699885383878,0.016408069323341
"RPS13",3199.42749228839,-1.19844997062153,0.316657769583659,-3.7846851893047,0.000153903270473307,0.016408069323341
"FCHSD2",226.717499231617,1.55139707346773,0.409321611546467,3.79016653336814,0.000150546317724512,0.016408069323341
"FOXO3",351.1313337452,1.2931568230899,0.341999817160255,3.7811623229142,0.000156097848336857,0.016408069323341
"SSH2",1064.06060906408,1.55028389834211,0.410089107035286,3.78035863851589,0.000156602614879476,0.016408069323341
"CARD19",953.860276165876,-0.919417143047678,0.24336184666902,-3.77798391831779,0.000158103085627162,0.0164378561948978
"UBBP4",116.437288045764,-1.67469657290761,0.444365671488535,-3.76873525647854,0.000164076798733151,0.0168004697854339
"LOC105376603",819.412046340314,1.40689762172644,0.373244207003531,3.7693756402042,0.000163656425808279,0.0168004697854339
"CNTRL",73.2971429776989,1.26238823106921,0.336424332333223,3.7523689868509,0.000175171381464892,0.0178016270066126
"RPL23A",1900.93623921176,-1.17653822280402,0.313913045502416,-3.74797492382318,0.000178268071797785,0.0179811287941706
"FAM222B",513.73989903242,1.36822872727847,0.365462439207383,3.74382858672397,0.000181237319432839,0.0181452119218834
"LINC00106",49.7148939659593,2.41309798934268,0.645806155601796,3.73656703085158,0.000186549735596823,0.0185397516641666
"LINC00472",56.1110340054645,1.44852293313874,0.388173530593017,3.73163757695125,0.000190239066942626,0.0185972524938746
"LOC400800",40.0690305503067,1.71425647352989,0.459772562110032,3.72848798471719,0.000192632091531699,0.0185972524938746
"RPL30",4563.42163750086,-1.12627980579593,0.302073564373039,-3.72849510394446,0.000192626650664178,0.0185972524938746
"LINC02476",112.667223471943,1.91930018540609,0.514072611432075,3.73351962879213,0.000188822470804637,0.0185972524938746
"EP400P1",89.158173736478,1.15943187396067,0.312401937459015,3.71134661772953,0.00020615957447026,0.0197620766563123
"TMEM218",150.219862332567,-1.02052887601057,0.275292445657337,-3.70707185071416,0.000209669471393337,0.019809211061939
"PCBD1",586.826065006322,-0.971989389929124,0.262564027513532,-3.7019137736948,0.000213979344113872,0.019809211061939
"TNRC6A",730.943854296508,0.937882953167951,0.25304347068682,3.70641040696412,0.0002102175530073,0.019809211061939
"MBTD1",274.405615302645,1.554053083809,0.419712991723044,3.70265661167447,0.000213353573199219,0.019809211061939
"C12orf57",396.083217276214,-1.58030241366982,0.42653743413084,-3.70495597154331,0.000211427454442023,0.019809211061939
"AGAP6",96.9036142683524,1.65264852868617,0.447409990475368,3.69381230609145,0.000220916891341023,0.0201108378961277
"TAOK3",5345.31560350585,-0.981846705561035,0.265857063260914,-3.69313755864911,0.000221504125759108,0.0201108378961277
"GLUL",337.090242053387,-1.06025097712758,0.287191056741144,-3.69179663586538,0.000222675486690748,0.0201108378961277
"DDTL",1899.83581270662,-1.18319076294137,0.320542740160834,-3.69121060844398,0.000223189233827993,0.0201108378961277
"COX7C",4835.0658377071,-0.975210310852181,0.264620759261063,-3.68531294965442,0.000228421791374443,0.0202228185276091
"DDT",1902.48329081479,-1.18138349968776,0.320613649612583,-3.6847573430367,0.000228920629973675,0.0202228185276091
"ADM",645.577432881257,-1.40486070452849,0.381185944737083,-3.68549975130239,0.000228254305116055,0.0202228185276091
"MAPK8IP3",352.469871398189,1.58951427115196,0.431607082299264,3.68278078914802,0.000230703534114294,0.0202479803057714
"COL27A1",661.349026789472,1.20998165650967,0.328913264880282,3.67872562680038,0.000234402270182474,0.0204398779599117
